address,size,rent,personer,dagar,time,url
Emmylundsvägen 5 / 1212,36,6 802,11,1192,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=78506b7831546439635a453043734b74647269554476355439446e487373662b
Gustav III:s Boulevard 4 / 1601,26,5 720,10,972,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6938424938535573394d516c4867305a6d4c3158416752582f415162794b614b
Forskarbacken 17 / 1104,18,3 720,16,422,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=43494869385a47637479413965713577456d65524b6f6a34437877482f507845
Forskarbacken 19 / 1106,18,3 714,18,433,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4433725232342f35673356624479494e2f4c4462314d32467a6a5a382b584c6e
Studentbacken 25 / 1615,17,4 154,9,115,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=704c6e75386946714758783758394957434c4d6c7145386a74534a3734437968
Körsbärsvägen 4 A / 1317,20,4 239,13,427,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=76572b385379306a53706857412b577035385831555062327a30716b2f455a78
Professorsslingan 10 / 1309,24,5 550,12,617,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=595a5a6a4f4a3456336c75384849507732536651487749745245755256476d4a
Forskarbacken  7 / 1005,18,3 910,12,128,2022-11-02 15:19,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=366e324d324e676a6c63494436652b4d796f365433596a7a4b38476e5a4c4848
Armégatan 32 A / 1415,36,4 564,8,679,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=756a7951633651715a526241704b76786d3378436c514f495168584c39532f36
Emmylundsvägen 3 / 1805,18,3 496,9,150,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=2f77347078635052476f3859393042422b7657546a4b573257557133694f6f6b
Studentbacken 21 / 1206,17,3 962,13,115,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=346765497358526c5a7379317a69434a48664a7a535953455430477331735437
Studentbacken 21 / 1317,41,6 321,19,1201,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=2b586339494846326b52537a3669592f626d3537317a52556f63697633716977
Körsbärsvägen 4 B / 1317,18,4 095,15,427,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=656b5a6b5778752f3773507a39543350676d37453651455854714a7977626e61
Körsbärsvägen 4 C / 1311,18,3 918,13,288,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=637068454e4e577a6e2b452b4d74392b5877445a765a6c6155437376586c4e55
Körsbärsvägen 9 / 1604,36,6 495,12,895,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=43386e586d626f424a30457275485939774d5a71755859423838696c742b5356
Edinsvägen 22 B / 1109,17,3 246,7,625,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=59443364636d656c725378386a4d655854317039413758712f5974586a5a694f
Röntgenvägen 1 / 2316,62,7 080,13,835,2022-11-02 15:20,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6a4366465441426c46614a5638475763626c65744e616c317a6f68754e737447
